epoch,train_loss,train_rmse,train_r2,train_mape,val_loss,val_rmse,val_r2,val_mape,best_val_r2,is_best
1,1096.582558799321,33.11468708612913,-2.3416582051907064,136813.17598610514,1022.0768075487304,31.969935052516956,-1.7977672841022638,82.5292174673127,-1.7977672841022638,1
2,480.9062134418998,21.929573286815756,-0.4654839889482114,1111404.5675251533,154.78854972610145,12.44140418671314,0.5762917910869029,43.16138695908602,0.5762917910869029,1
3,157.09389708998646,12.533710064101392,0.5212817281557764,1242592.584024469,144.33550342128683,12.01397089320141,0.604905275981157,38.27978649143339,0.604905275981157,1
4,145.0660380525821,12.044336028747935,0.5579346831336123,1554558.9221777592,153.86369734124224,12.404180214658876,0.5788234197801907,43.92363871647616,0.604905275981157,0
5,132.66329298676243,11.517954874979633,0.5957300496264406,1894322.137252696,173.27009327114908,13.163209529300465,0.5257015906689287,56.92783771711841,0.604905275981157,0
6,126.24942091757258,11.236076420729466,0.615275286947879,1980426.836128079,163.87092527026613,12.801207541251909,0.55143027696122,62.813145825417415,0.604905275981157,0
7,119.69648647093953,10.940588678810723,0.635244291821883,1869834.475302552,184.91315640298083,13.598277298186368,0.4938306245537404,82.4411483299195,0.604905275981157,0
8,111.4288205774971,10.555984809652122,0.6604386677049063,1641204.5356418416,243.01190058936035,15.588838501087665,0.3347948619349598,110.73880851133572,0.604905275981157,0
9,105.4264558113452,10.267738315544323,0.6787299069472932,1437534.1092072811,261.53990289035954,16.17219501021272,0.2840774885624434,117.21257919969445,0.604905275981157,0
10,102.15890672419813,10.107368676671518,0.6886872338387969,1336974.6901347213,253.45262634975887,15.92019503558633,0.3062150937813881,114.40598009133139,0.604905275981157,0
11,100.14377817901979,10.007186042082466,0.694828014525575,1303277.5463985489,246.4971222447735,15.700226408980464,0.32525463488551287,111.82752043251703,0.604905275981157,0
12,98.8063713228096,9.940139103951886,0.698903546756239,1282271.570615217,243.89113137786822,15.617013767772264,0.3323881053816473,110.59582812333241,0.604905275981157,0
13,97.93905482164512,9.896416029007568,0.7015465498207851,1278816.8722466168,241.92868430556487,15.554056453986737,0.3377599814228337,109.61083980012346,0.604905275981157,0
