epoch,train_loss,train_rmse,train_r2,train_mape,val_loss,val_rmse,val_r2,val_mape,best_val_r2,is_best
1,138.1953546680403,11.755652020539193,0.21256608614068118,34.70198600703015,78.69780924017962,8.871178610079367,0.7528821397588732,35.118725504107026,0.7528821397588732,1
2,37.566652052755714,6.129164039233256,0.7859460920700527,22.746522996715807,76.20849597549677,8.729747718816345,0.7606988010116702,34.473040026656314,0.7606988010116702,1
3,36.13275941538457,6.011053114113912,0.7941163769112658,22.168950209665486,72.34240348511082,8.50543373547797,0.7728386615003207,32.334251561499435,0.7728386615003207,1
4,34.908504019202454,5.908341904633817,0.8010921561413611,21.701066841411805,69.07804807897678,8.31132051512508,0.7830890135264057,31.2384881134316,0.7830890135264057,1
5,33.99594204310275,5.830603907680728,0.8062919139452639,21.324928707532703,68.02424663532784,8.247681197698125,0.7863980469370915,30.81181456381701,0.7863980469370915,1
6,33.20811005003003,5.762647836051724,0.810780961471179,20.902455388422403,65.42916186050876,8.08882941481672,0.7945468323412294,30.5037531877137,0.7945468323412294,1
7,32.435365058958844,5.695205445477997,0.8151840445921731,20.30674803306557,64.16565558546658,8.010346819052781,0.7985143466468105,29.03712017326287,0.7985143466468105,1
8,31.433517378179413,5.6065601904841955,0.8208925505954302,19.30659656853515,61.54132021398076,7.844827617614347,0.8067549857552464,26.611437836696908,0.8067549857552464,1
9,30.687093446243672,5.539593248492413,0.825145656100695,18.470523289468677,59.46828377936996,7.711568200254208,0.8132644970236544,26.729416936333852,0.8132644970236544,1
10,30.052502027034716,5.482016235488985,0.8287615428613606,17.746181137671456,59.02457941321003,7.682745500234227,0.8146577708612265,26.77556579094361,0.8146577708612265,1
11,29.477890556193223,5.429354504934614,0.8320356667630677,17.20384157843296,58.01491596188089,7.616752263216671,0.8178282003150738,24.75445055249405,0.8178282003150738,1
12,29.15831224940573,5.399843726323643,0.8338566151784144,16.910284615305414,56.258825522716556,7.500588346653376,0.8233424716568385,23.367857709326493,0.8233424716568385,1
13,28.80892290496418,5.36739442889438,0.8358474273561629,16.681259429955542,55.93798140273612,7.479169814315181,0.8243499506478612,23.271446619643495,0.8243499506478612,1
14,28.522600832006116,5.340655474016547,0.8374788838097472,16.534216269021147,56.16327980383187,7.494216397311818,0.8236424947039374,22.888573248035023,0.8243499506478612,0
15,28.367990061648563,5.326160900665193,0.8383598534186948,16.47275127611892,54.88665479253709,7.408552796444543,0.8276512060896772,24.03976810227711,0.8276512060896772,1
16,28.083141375924807,5.299352932030979,0.8399829132104962,16.312142806991815,54.444321625936524,7.37863950249789,0.8290401715542074,22.936249913766154,0.8290401715542074,1
17,27.9017732754018,5.282212919767496,0.8410163448141592,16.239073406207122,53.96374000505367,7.346001611301983,0.8305492377717038,22.62489658813796,0.8305492377717038,1
18,27.822562953810994,5.274709749346028,0.8414676837727327,16.186289820856967,53.56827403880481,7.319035020988892,0.83179103497546,23.127754488143744,0.83179103497546,1
19,27.58697010282963,5.252329956585683,0.8428100870166719,16.074499718714332,53.53265184857132,7.3166010878576095,0.8319028916061686,23.015651057300243,0.8319028916061686,1
