epoch,train_loss,train_rmse,train_r2,train_mape,val_loss,val_rmse,val_r2,val_mape,best_val_rmse,is_best
1,122.41859231458149,11.064293549308703,0.3004492449345211,34.148983536036575,75.50784534343651,8.689525139122068,0.7629068725196824,33.77952001345715,8.689525139122068,1
2,36.83751385935003,6.0693915630509645,0.7894951222031322,22.175694287564042,70.05691126028822,8.370000786794812,0.7800226960018569,31.774859455679962,8.370000786794812,1
3,34.157963811600425,5.844481481503234,0.8048071864046635,21.172125742898547,65.64944155027895,8.10243438768049,0.7938620640285989,31.108080668999428,8.10243438768049,1
4,31.885067139583263,5.64668639356944,0.8177954627953974,20.258438951245292,61.05535858674617,7.813792945415431,0.8082873920336673,29.031027165669506,7.813792945415431,1
5,29.911564663604874,5.469146609251474,0.8290728775243126,18.56291586354724,57.17930448681825,7.561699926883737,0.8204581252358466,24.413754898374783,7.561699926883737,1
6,28.289925123300723,5.318827418538249,0.8383396003169012,16.812000027928534,56.141362489552726,7.492754097189861,0.823717241769207,24.21225977527649,7.492754097189861,1
7,27.468584809479424,5.241048067469219,0.8430330802264971,16.278022787536784,55.28539845809734,7.435415230775027,0.8264049525465027,23.131655555977684,7.435415230775027,1
8,26.96613552930616,5.192892796345887,0.8459042842489848,16.095822750335362,55.57420047987856,7.4548106481958465,0.8254981195919623,23.93248880232114,7.435415230775027,0
9,26.509988651024354,5.148785165776688,0.8485108974396348,15.93882688267322,54.24339604332156,7.365011699044328,0.829676818980153,23.441299569303336,7.365011699044328,1
10,26.272266508909528,5.125647910762655,0.8498693408500381,15.927582433379362,53.62112890505206,7.3226450271408,0.8316307253144352,22.475826843686516,7.3226450271408,1
11,25.89689081084588,5.088898785571662,0.8520143934875791,15.725486814777671,54.30986705529697,7.369522951426445,0.829468100729424,23.077698888646673,7.3226450271408,0
12,25.747249491605054,5.074174757834633,0.8528695065598643,15.69698417488906,52.77427779513482,7.264590757706274,0.8342898214845625,22.569500882577476,7.264590757706274,1
13,25.448577146605327,5.044658280222842,0.8545762443696787,15.649513829634879,52.45218863899839,7.2423884101502045,0.835301174472081,22.54281172807398,7.2423884101502045,1
