epoch,train_loss,train_rmse,train_r2,train_mape,val_loss,val_rmse,val_r2,val_mape,best_val_rmse,is_best
1,494.79886526797077,22.244074800867445,-1.8388775675600053,75.09109938595718,366.10256555336383,19.133807025557463,-0.14953426193417507,67.62170631192298,19.133807025557463,1
2,81.739104363259,9.04096809751719,0.5310984829943819,33.84224917282642,195.97563567448938,13.999129933729751,0.38465138164129153,46.69534522649641,13.999129933729751,1
3,57.191829225065945,7.56252797536476,0.6718667308270165,30.782801221547018,171.88477062168695,13.110483366422432,0.46029486698964084,51.842212001632504,13.110483366422432,1
4,52.99758602045793,7.279944084139445,0.6959296069530193,29.958497731714466,151.77700383181434,12.319781111538576,0.5234317292916864,49.998711118807584,12.319781111538576,1
5,50.76145923100248,7.1247076652714885,0.7087850717464492,28.278001308173735,156.0810531312359,12.493240424085446,0.5099173403344239,52.76790954104343,12.319781111538576,0
6,48.487567971160594,6.963301510632184,0.7218066444980151,26.489698127314217,166.81707373548338,12.91576861219574,0.4762070451175985,57.57073428242423,12.319781111538576,0
7,46.03575131126182,6.784965096740805,0.7358727471933706,24.37973158734807,180.60689855077578,13.439006773955155,0.4329080446253252,64.04829501877038,12.319781111538576,0
8,43.491847953102585,6.594834949402269,0.7504894307967811,21.992136541299608,202.5691254540901,14.23267824237534,0.36394832063720006,78.46505118225417,12.319781111538576,0
9,41.961848651923944,6.477796583182866,0.7593134289359055,20.3554371478596,230.80335362528572,15.192213746735098,0.27529498779568107,88.31722815550903,12.319781111538576,0
10,41.142994260653516,6.41428049805704,0.7639455678068753,19.598597224483406,237.91075386520674,15.424356041968426,0.25297828926923105,92.14345127688355,12.319781111538576,0
11,40.572055446571824,6.36961973660326,0.7672641327335946,19.10883740186396,250.71616469502797,15.83401939093307,0.21277027226915446,99.50444340984718,12.319781111538576,0
12,40.1364358089552,6.335332331546053,0.7697568122242023,18.87718806357451,243.26920117625443,15.597089689038722,0.2361531713177082,98.22741114147884,12.319781111538576,0
13,39.813901128112775,6.309825766876465,0.771585500303493,18.680483447054527,245.82570529431476,15.678830073220487,0.2281259376406214,101.97336172606794,12.319781111538576,0
14,39.40979738354226,6.277722306964217,0.7739059601480212,18.48124853861385,260.03523962886203,16.125608414865116,0.18350907945053607,104.76801112672204,12.319781111538576,0
