type,id,tags.crossing,tags.highway,tags.junction,tags.name,tags.note,tags.name:vi,tags.access,tags.traffic_signals:direction,tags.fixme,nodes,tags.lanes,tags.surface,tags.name:en,tags.ref,tags.name:zh,tags.hgv,tags.maxweight:conditional,tags.maxweight,tags.maxspeed,tags.oneway,tags.motor_vehicle,tags.motorcycle,tags.bicycle,tags.mofa,tags.moped,tags.old_name,tags.motorcar,tags.bus:lanes,tags.motor_vehicle:lanes,tags.motorcycle:lanes,tags.taxi:lanes,tags.foot,tags.bridge,tags.layer,tags.horse,tags.alt_name,tags.service,tags.bicycle:oneway,tags.addr:district,tags.motorcycle:oneway,tags.construction,tags.int_ref,tags.hgv:lanes,tags.moped:lanes,tags.addr:city,tags.destination:street:backward,tags.destination:street:forward,tags.description,tags.turn:lanes:forward,tags.oneway:bicycle,tags.oneway:hgv,tags.oneway:moped,tags.oneway:motorcycle,tags.oneway:psv,tags.lanes:backward,tags.lanes:forward,tags.turn:lanes,tags.mofa:lanes,tags.footway,tags.bus,tags.oneway:motorcar,tags.hgv:conditional,tags.motorroad,tags.lanes:motorcycle,tags.cycleway,tags.surfaces,tags.maxspeed:bus,tags.maxspeed:hgv,tags.maxspeed:hgv_articulated,tags.maxspeed:motor_vehicle,tags.hgv_articulated,tags.psv:conditional,tags.moped:oneway,tags.destination:street,tags.maxweight:hgv,tags.maxweight:hgv:conditional,tags.maxweight:hgv_articulated,tags.overtaking,tags.motor_vehicle:conditional,tags.addr:subdistrict,tags.psv,tags.area,tags.car,tags.maxheight,tags.maxweight:lanes,tags.destination:ref,tags.source,tags.maxspeed:articulated_hgv,tags.maxspeed:motor_car,tags.hgv_articulated:conditional,tags.name:de,tags.destination:district,tags.bus:conditional,tags.ski,tags.snowmobile,tags.wheelchair,tags.turn:lanes:backward,tags.oneway:mopeds,tags.amenity,tags.religion,tags.sidewalk,tags.old_name:fr,tags.old_name:vi,tags.name:ja,tags.name:th,tags.oneway:mofa,tags.lit,tags.name:vi-hani,tags.old_name:en,tags.old_name:zh,tags.width,tags.old_name:1955-1975,tags.old_name:1897-1955,tags.old_name:1871-1897,tags.name:id,tags.maxspeed:lanes,tags.source:maxspeed,tags.maxspeed:motorcar,tags.destination:street:to,tags.taxi:conditional,tags.bicycle:lanes,tags.tunnel,tags.proposed,tags.destination:lanes,tags.destination:street:en,tags.level,tags.destination:int_ref,tags.covered,tags.truck,tags.lanes:bus,tags.lanes:motor_vehicle,tags.motorcycle:conditional,tags.stop,tags.minspeed,tags.bridge:name,tags.alt_name:en,tags.vehicle,tags.motorcar:forward,tags.date,tags.lay,tags.motorcycle:lanes:foward,tags.motor_vehicle:lanes:forward,tags.lanes:motorcycle:forward,tags.narrow,tags.information,tags.postal_code,tags.maxpeed:hgv,tags.hgv;conditional,tags.cutting,tags.maxspeed:advisory,tags.destination:forward
way,32578529,,tertiary,,Tân Chánh Hiệp 39,,,,,,"[3246715972, 366431733, 5753412920, 3246715971, 366462793, 5753413593, 366476429, 5753413524, 366373000, 5753413597, 366426790, 5753413534, 366442853, 366433812, 5753413538, 366391534, 366476015, 5753412909, 366474610, 366432358, 5753412865, 366385557, 5753412868, 366475360, 5753466522, 5753461069, 366392616, 5757503389, 5753461064, 5753461065, 5757466343, 5753461066, 5757466409, 2922944240, 5753461112, 5755038628, 2922944218]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578530,,unclassified,,đường PHẠM THỊ GIÂY,,,,,,"[366428316, 5738491100, 366439454, 366449338, 366450757, 4069505890, 366446985, 366437910, 366369124, 5735589501, 5735589487, 5735589635, 366461545, 5735589454, 366414492, 366476940, 5735636838, 366447804, 366420549, 4069505889, 4069505888, 366403994]",,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578767,,residential,,Trần Chánh Chiếu,,,,,,"[366371126, 6637725832, 6758167210, 1996745093, 5816921546, 1996745425, 366453620]",2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578991,,tertiary,,Đường Thiên Phước,,,,,,"[2233808761, 6747277444, 5772301817, 5092125062, 1606180418, 1606180402, 366470058, 5092125037, 5765289872, 5765289873, 366405629, 366368702, 5092125044, 5765289906]",,asphalt,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32579421,,residential,,Chu Văn An,,,,,,"[366469312, 5733213075, 366369911, 5733217750, 5733213077, 5733217751, 366382210, 5768658306, 366407827, 366443396, 5733213102, 5769514774, 366475288, 5769514784, 366422269, 5769514779, 5733213088, 3631205814, 366450138, 5768658271, 366440482, 5768556275, 5768658274, 366460312, 366428483, 5337055552, 366433576, 2925962352, 366477443, 366389118, 366431307, 5337055560, 366467358, 366378465, 6522513042, 2925962353, 370818172]",,,Chu Van An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32579641,,tertiary,,Đường Bình Thới,,,,,,"[6636549496, 6725065725, 4932651973, 5778381560, 6243618810, 6725180243, 4932651979, 5778252044, 6243618856, 366371269, 4932651988, 5778381660, 5044255971, 5044255972, 6725243688, 5778252051, 366423133, 6727030370, 6243618811, 6243618792, 6727054338, 6727054339, 5778270003]",2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32579894,,tertiary,,Dường Hồ Văn Huê,,,,,,"[3654067017, 366383760, 1409433809, 3167034803, 3654066951, 3654067036, 1409433796, 3654067000, 3654066950, 1409433790, 6351667388, 3654562873, 366408245, 3167034804, 6351667355, 6351667353, 366397928, 1409433751, 3654066949, 712140237, 366369819, 3654066948, 3758592299, 3167034805, 2293477506]",3,asphalt,Ho Van Hue,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32580762,,tertiary,,Đường Bùi Tư Toàn,,,,,,"[366375021, 1648965050, 6726995500, 6726978083, 6726978084, 5752816777, 366463771, 6733520756, 6727721785, 6728065055, 4275399307, 4275371751, 6733520755, 4275401505, 5752816773, 4276234546, 4275371753, 6733520754, 4275371752, 5752799766, 4275407175, 5009095741, 4988383972, 5009095743, 366478333, 4275411908, 6733520753, 3191485721, 4292120346, 4275371757, 4275371756, 4275371758, 6728181456, 366421131, 6733520752, 4275371759, 6733520751, 4292130991, 4275371760, 6733520750, 6733520749, 366439330, 6733520748, 4275371761, 6728181451, 1929546787]",2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32581292,,tertiary,,Ngô Chí Quốc,,,,,,"[366404766, 366458360, 5757826378, 366466133, 5757826409, 366402732, 366462952, 366419584, 366459572, 366370659, 366425005, 366400104, 366411451, 4936959396, 4936959397, 5757826358, 366475092, 366459387, 366398456, 5757826399, 366415973, 366411683, 5757826401, 5757885338, 366368515, 5757757123, 366424098, 5757756783, 5757756785, 366464646, 5757763475, 5757756811, 5757757151, 5757756784, 5757756772, 5757757147, 5757756819, 5755432451, 366465275, 5757756812, 5755432453, 366465955, 4936959384, 5755432514, 366449798, 4936959385, 5755432519, 5755433522, 5755433558, 5748255066, 3656167777, 4936959426, 5755433523, 366424814, 5755432501, 3744096192, 366385861, 4936959445]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32581881,,tertiary,,Hẻm 1129 Lạc Long Quân,,,,,,"[366368670, 366418543, 366385187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32582173,,tertiary,,Đường Thoại Ngọc Hầu,,,,,,"[2620587146, 6712518823, 6735604594, 366401354, 6713078913, 5552685861, 4932652047, 4988383931, 6712379534, 4988383720, 5772040034, 366408242, 366390286, 4924631905, 6712343886, 4988383926, 4988383929, 6712343887, 366452119, 5772040031, 3830454323, 3830454332, 6712330195, 5772107328, 5772107329, 6712330198, 4932652042, 5778163063, 5093747300, 5093741191, 6712217662, 5093741199, 5778163155, 6712217663, 4661299259, 5772108074, 6712217668, 5778163156, 5778163134, 6712998788, 6716276033, 366386493, 6712181677, 4929831430, 366445046, 366468463, 5778163173, 5778163104, 6712455511, 4213562662, 366404473, 5778163193, 4213562792, 366404501, 4213562796, 5093747265, 366454444, 5778136946, 6716276027, 6712463252, 4974590003, 6712463251, 5093747283, 6713343747, 3081292117, 5778136906, 6713572099, 4102230924]",2,asphalt,Duong Thoai Ngoc Hau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32582560,,residential,,Hẻm 195 Bình Thới,,,,,,"[366368010, 366460517, 366467039, 366461400]",1,concrete,,,,,,,,,no,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32582602,,tertiary,,Vườn Lài,,,,,,"[366445476, 366373630, 5767567228, 5003306333, 5003306330, 366435614, 5003306327, 5003306328, 5003306325, 5003306323, 366405261, 5003306321, 3158936120, 2620587033, 366466351, 4616376150, 366402197, 366417329, 5767567205, 3771486808, 366421226, 5112594875, 5767567195, 5767567194, 3771486813, 5767567193, 3158936121, 4976736754, 366380857, 5767645844, 5767645843, 5767646459, 5767645842, 3158936122, 5767645841, 366371524, 366432863, 3830454294, 5769301526, 3158936123, 5769301527, 366471495, 5769301528, 5769301529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32583384,,tertiary,,Nguyễn Thái Bình,,,,,,"[366418858, 6800357170, 2409408737, 2491883775, 366471427, 366375122, 2078951003, 366445008, 2078950650, 2078950784, 5108956860, 366452900, 2078950680, 366377084, 366368733, 5765334906, 366436618, 366388170, 5721820862, 366402730, 366441125, 366437658, 366447529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
