id,ref,role,hour_off,hour_on,except,restriction,note
2993768,225192428,to,,,,no_u_turn,
4264019,2358286021,via,,,,no_left_turn,
4264019,211067382,from,,,,no_left_turn,
4264019,316618619,to,,,,no_left_turn,
5638389,2358286024,via,,,,no_left_turn,
5638389,260982113,,,,,no_left_turn,
5638389,225921220,from,,,,no_left_turn,
5638389,378250858,to,,,,no_left_turn,
3123755,2409402333,via,,,,no_left_turn,
3123755,495450437,from,,,,no_left_turn,
3223920,2468452124,via,,,motorcycle,no_left_turn,
3223920,239031344,from,,,motorcycle,no_left_turn,
3223920,239030906,to,,,motorcycle,no_left_turn,
8092087,567751082,from,,,,only_u_turn,
8092087,2468452120,via,,,,only_u_turn,
8092087,567751082,to,,,,only_u_turn,
8089446,567493114,from,,,,no_left_turn,
8089446,5462344911,via,,,,no_left_turn,
8089446,567493111,to,,,,no_left_turn,
6786767,4530357192,via,,,,no_right_turn,
6786767,456799180,to,,,,no_right_turn,
6786767,609387296,from,,,,no_right_turn,
8061455,35113620,from,,,,no_right_turn,
8061455,4605032714,via,,,,no_right_turn,
8061455,408162167,to,,,,no_right_turn,
8061456,35113835,from,,,,no_right_turn,
8061456,4605032714,via,,,,no_right_turn,
8061456,408162167,to,,,,no_right_turn,
8061457,565040731,from,,,,no_straight_on,
8061457,4605032714,via,,,,no_straight_on,
8061457,408162167,to,,,,no_straight_on,
3044431,4609802776,via,,,motorcycle,no_left_turn,
3044431,215508134,from,,,motorcycle,no_left_turn,
3796401,192680130,from,,,,no_left_turn,
8061453,35114956,from,,,,no_right_turn,
8061453,4605032065,via,,,,no_right_turn,
8061453,565040731,to,,,,no_right_turn,
8055211,228021174,from,,,,no_right_turn,
8055211,723876669,via,,,,no_right_turn,
8061452,565040730,from,,,,no_straight_on,
8061452,4605032065,via,,,,no_straight_on,
8061452,565040731,to,,,,no_straight_on,
