epoch,train_loss,train_rmse,train_r2,train_mape,val_loss,val_rmse,val_r2,val_mape,best_val_rmse,is_best
1,289.9420837322893,17.027685819014835,-0.6635245944651769,54.83648198958548,199.45200385731326,14.122747835370252,0.37373571297526975,46.279705616844886,14.122747835370252,1
2,55.39469064829288,7.442760957192128,0.6822248694736406,30.5097805867677,152.5010150998616,12.349130322884623,0.5211582770897913,51.294821987586715,12.349130322884623,1
3,50.098068368509466,7.077998903206513,0.7125665822147851,27.812729312974845,158.97105026737572,12.608372385407772,0.5008428558423837,53.95824735752651,12.349130322884623,0
4,45.87637057905676,6.773209768953261,0.7367871422149004,24.214922110722135,189.3942672715786,13.76205913492707,0.4053162431451297,73.01057076503852,12.349130322884623,0
5,42.49642777357518,6.51892841161309,0.7562009782257144,20.90455692794246,237.13658953486413,15.399240060848602,0.25540894315236917,89.80708317244813,12.349130322884623,0
6,40.97209689316197,6.40094498480367,0.7649260305356081,19.458744502994477,255.8281088102436,15.994627757971893,0.19671896893312135,100.49523046442565,12.349130322884623,0
7,40.216469636957775,6.341645671361626,0.7692605121736654,18.952156819572085,248.22267629169085,15.755084340535872,0.22059946090881555,100.5613114426083,12.349130322884623,0
8,39.52681847323772,6.287035758729677,0.773236607161093,18.53724746171965,273.62068600666424,16.54148399758205,0.1408516204345417,108.46611946156544,12.349130322884623,0
9,38.96609179446594,6.24228258698639,0.7764966185932007,18.35743459717462,266.21197357994873,16.316003819509312,0.16411441908705604,108.64782318869129,12.349130322884623,0
10,38.2914624446156,6.188009575869624,0.7803059890760675,18.207373231532355,276.0170179009344,16.613760166472936,0.1333273119670284,111.80696817827658,12.349130322884623,0
11,37.63818196634484,6.134996499611672,0.7840938839641589,18.072052804772895,276.0731729903295,16.61545011897177,0.13315098702294137,113.2966893760383,12.349130322884623,0
12,36.92523061622569,6.076613402881493,0.7881779333761155,17.9800122294696,266.479629277613,16.324203958282077,0.16327400494119015,112.63059600053603,12.349130322884623,0
