epoch,train_loss,train_accuracy,train_f1_macro,val_loss,val_accuracy,val_f1_macro,best_val_f1_macro,is_best
1,1.8075073312858805,0.14162608879478178,0.11571916893142808,1.8054629380886371,0.14813685977585117,0.09923572462186706,0.09923572462186706,1
2,1.8063197041761603,0.14268451971208682,0.11656823732108015,1.804618685418724,0.14819247291572016,0.09918232225690116,0.09923572462186706,0
3,1.8050328863948486,0.1441421628622264,0.11789918249244102,1.8037792314321568,0.14819083323080864,0.09917924248419854,0.09923572462186706,0
4,1.803767393291579,0.14583616905365285,0.1196052724262356,1.8027740103057308,0.14793401240203208,0.098915815813655,0.09923572462186706,0
5,1.8025455128292307,0.14785797165514133,0.12171982094276486,1.8015543044122875,0.1486966553079714,0.09454891908508707,0.09923572462186706,0
6,1.8013388460156194,0.15018272427475132,0.12420944977308962,1.8003316496172521,0.14057604179067892,0.08005042922260909,0.09923572462186706,0
7,1.8001606956561147,0.15290889374746816,0.1270700341354844,1.7990929823145907,0.14062793160271636,0.08042856928596104,0.09923572462186706,0
8,1.798967517062973,0.15602483094775485,0.13023174782631503,1.7978512654956589,0.1533319320834696,0.09893314582966606,0.09923572462186706,0
9,1.7978183171842308,0.15926664976604427,0.13336006815096788,1.796606567935047,0.17028339130122647,0.12209800651729548,0.12209800651729548,1
10,1.7966592062373892,0.16245708722713603,0.13628643082392733,1.7953457918941464,0.18199821782232606,0.1350127640816291,0.1350127640816291,1
11,1.7955021627174526,0.16546969490735491,0.13880461203781172,1.7940522322797368,0.18891068545127584,0.1403985441187091,0.1403985441187091,1
12,1.7943152817336279,0.16827330357058742,0.14096572798060972,1.7927306849732358,0.19371767334559462,0.14294945591569502,0.14294945591569502,1
13,1.793119605278736,0.17074604999725496,0.1426394596870701,1.7913778954082065,0.1973221388196788,0.1440304063125321,0.1440304063125321,1
14,1.7919177164472275,0.1728910220093045,0.1439088697697728,1.789991632486001,0.20041100922097232,0.1443241717432197,0.1443241717432197,1
15,1.7906683066962985,0.17472930139383708,0.14473842606226822,1.7885617160389566,0.2034899882378357,0.14424340780684197,0.1443241717432197,0
16,1.7893910172125416,0.176235696599637,0.14518610806656213,1.7870846775352445,0.20588335994240053,0.1437850721498243,0.1443241717432197,0
17,1.7880621124362324,0.17772670683833347,0.14552642028098273,1.785544832292785,0.20739268694373245,0.14275869487741355,0.1443241717432197,0
18,1.7866665318074366,0.17900268792447147,0.14559882970392501,1.7839341797889807,0.20808958854776813,0.14151063319848492,0.1443241717432197,0
19,1.785168590005912,0.18047102932018405,0.14572541406455236,1.7822282920535812,0.20608470969787082,0.13943722975912765,0.1443241717432197,0
20,1.7836172197268918,0.18221849459228812,0.14593994872424948,1.7804155255484784,0.19793094139650105,0.13508354468470632,0.1443241717432197,0
21,1.7819504367023804,0.18463481086138003,0.14645540885285652,1.7784751465177944,0.1923219108028456,0.13297096640955897,0.1443241717432197,0
22,1.7801639124120097,0.18832652279940795,0.1476736322371785,1.7763754328091939,0.1962922391120423,0.13636526244636027,0.1443241717432197,0
23,1.7782232729347986,0.19369982534669963,0.14971693694191596,1.774085736172831,0.2075863651048153,0.14234335110631913,0.1443241717432197,0
24,1.7761055714532685,0.20112532143126696,0.1527762972667678,1.7715728198870635,0.22130845601017804,0.14813203044956658,0.14813203044956658,1
25,1.773831409817798,0.21074361269902425,0.15690751429818128,1.7688045213874588,0.23551124688886066,0.15310234206799905,0.15310234206799905,1
26,1.771357353230641,0.22227644493959686,0.16195922109301156,1.7657446247390194,0.25076245940329583,0.16023221783496144,0.16023221783496144,1
27,1.7686085495187716,0.23526053319176118,0.16773506666614807,1.7623390499343219,0.2681630206230452,0.17237432604856856,0.17237432604856856,1
28,1.7655843523503902,0.24895228763175473,0.17395984341504295,1.758521706630022,0.2938492175115791,0.1962536003216091,0.1962536003216091,1
29,1.7622359112536092,0.2625828625902246,0.18029938830399253,1.754204683833652,0.3112129124582999,0.20943772701031796,0.20943772701031796,1
30,1.7584637797616591,0.27550682545022037,0.18652975111261577,1.7492741022863958,0.3219619704859557,0.21596720490997684,0.21596720490997684,1
31,1.7541523429198063,0.2873511013342152,0.19241605600342107,1.7435793107391422,0.3306088991820849,0.2213227812026646,0.2213227812026646,1
32,1.749234638986836,0.2978580491467825,0.19786251543857294,1.736918342928601,0.33686187014907804,0.2253899262791607,0.2253899262791607,1
33,1.7434729095973098,0.3072002739048651,0.2029687215313703,1.7290284638730888,0.3408827031213255,0.2280613371933015,0.2280613371933015,1
34,1.736672006426106,0.3156984505705388,0.20807774773078083,1.7195673304745274,0.3437757584436551,0.2297981312036639,0.2297981312036639,1
35,1.7286167838868567,0.3233603029285641,0.21316175919578453,1.7080574649521427,0.34674832960503316,0.2319257424607169,0.2319257424607169,1
36,1.718837996744566,0.33006817058112475,0.217806524521251,1.6938689679671557,0.34969982755960616,0.2342955380517523,0.2342955380517523,1
37,1.7067927751168366,0.3361186096399656,0.22227621985785073,1.6761060181336525,0.3524621638859031,0.2371560221048369,0.2371560221048369,1
38,1.6918074537177816,0.3420212697703172,0.22681194591903445,1.6536481383009853,0.35666330892345655,0.2412842630856227,0.2412842630856227,1
39,1.6728975799068178,0.34937383573039005,0.2319953772478444,1.6250400143301384,0.36528014910548734,0.24782499170700825,0.24782499170700825,1
40,1.6488701492450912,0.360722693001426,0.23880042366930734,1.5887722884997344,0.38265372951719817,0.2575665023197966,0.2575665023197966,1
41,1.6185316722051328,0.3768273442649472,0.2471915017752724,1.5439306393138363,0.4007212340545674,0.2668638556938304,0.2668638556938304,1
42,1.5812199401156521,0.3902378700337536,0.25351784122989585,1.4914543908885403,0.412764909151748,0.2730241269498586,0.2730241269498586,1
43,1.5376910178008996,0.39902061867810334,0.25696524520726144,1.435022438183809,0.42222012555653393,0.27639506598679364,0.27639506598679364,1
44,1.4902369777037965,0.4075780172307842,0.25972239027794014,1.379889791083132,0.4320273829037667,0.27913053066737387,0.27913053066737387,1
45,1.442316761234296,0.41461893989648146,0.26225225684675374,1.3303115714309561,0.4349967694063635,0.27986689503375,0.27986689503375,1
46,1.396878818541474,0.4184263884769537,0.2649300841718347,1.287715148467284,0.43473383379594943,0.27977824353296815,0.27986689503375,0
47,1.355711064237725,0.4212103721282613,0.26865068384994467,1.252237377513168,0.43554328171486845,0.28261587699611973,0.28261587699611973,1
48,1.3199182106151643,0.4239490722362325,0.27363589171996827,1.2227529470737164,0.43420932996578754,0.28513021141992856,0.28513021141992856,1
49,1.289217118525738,0.42696800276062447,0.27962057392744233,1.1977662945914471,0.43423291301520084,0.2889207008229542,0.2889207008229542,1
50,1.2630222049520536,0.4304425807512983,0.28618991489373713,1.1760460887199793,0.43616177441515697,0.29410940518246176,0.29410940518246176,1
51,1.2405801219349963,0.43449935445740584,0.293533603253493,1.1563639024384,0.44171371200891496,0.30207917486454533,0.30207917486454533,1
52,1.220897720671632,0.43985137049077155,0.3025826149821482,1.137783447901408,0.44880672848077524,0.3123901964739192,0.3123901964739192,1
53,1.203352439092891,0.44654148105219055,0.3129154336210061,1.1195587085353003,0.4577848084151897,0.3249393207724515,0.3249393207724515,1
54,1.1869102627136032,0.4530957934342747,0.32325034951315756,1.1010572973989015,0.46545573390591843,0.33672207215946703,0.33672207215946703,1
55,1.1713581701637479,0.45943420361386905,0.33383471963848144,1.0818174043272295,0.4742331329815955,0.3503620118412518,0.3503620118412518,1
56,1.1560244718475527,0.46628801949719473,0.34523417027946507,1.0614676307409237,0.48327463971682916,0.36538327196391274,0.36538327196391274,1
57,1.140854099771487,0.47374371363442486,0.357356709718591,1.0396404773251624,0.4946228871505624,0.38349221445090986,0.38349221445090986,1
58,1.1251083920172837,0.4812320405507735,0.36970499090035325,1.0156435859509003,0.5077523414700537,0.40376935194246744,0.40376935194246744,1
59,1.1087535298414262,0.4887150090385709,0.3823249395499487,0.9890728541928479,0.5238481811360041,0.42712302641913014,0.42712302641913014,1
60,1.0913577086568267,0.4968979994514269,0.39571942238183955,0.9596945558093551,0.5428333883130931,0.45344671148674154,0.45344671148674154,1
61,1.072738896946177,0.5065624033215638,0.41064213512932285,0.9278039608755683,0.5647451726018762,0.4821538743591128,0.4821538743591128,1
62,1.0531456984021377,0.5179482856926906,0.4272671519626058,0.8943821452876441,0.5890549812751534,0.5135737412377799,0.5135737412377799,1
63,1.0329650811341375,0.5308819959182953,0.44483522494340694,0.8611077039669721,0.6160115196093056,0.5478903816329339,0.5478903816329339,1
64,1.0127495518530618,0.5437912658216951,0.46267390949809073,0.8291908101393626,0.6441569715708707,0.582842919526706,0.582842919526706,1
65,0.9927581260375169,0.5559457789836064,0.4796355106998528,0.7988546136607472,0.6706119083886611,0.61538220993968,0.61538220993968,1
66,0.9734353289639134,0.566698569873827,0.49553152984024634,0.770021158660579,0.6942251765437497,0.6455098364540611,0.6455098364540611,1
67,0.954862443214519,0.5764834749379715,0.5106310446072497,0.7425905424050796,0.7142164991180981,0.6717361220827277,0.6717361220827277,1
68,0.9371613730048513,0.5861854013436252,0.525639986149824,0.7164720468796216,0.7336389753363923,0.6970971657737495,0.6970971657737495,1
69,0.9205319640690807,0.5955566245566937,0.5398047250389509,0.6921567901586875,0.7516778948974521,0.7206647115161093,0.7206647115161093,1
70,0.904843041096914,0.6045987147134875,0.5533889941205135,0.669209918150535,0.7706967896082287,0.7453062294257272,0.7453062294257272,1
71,0.8901605999722154,0.6134724805051335,0.5661721365984067,0.6478030214197615,0.788174859976828,0.7673776477553567,0.7673776477553567,1
72,0.8765661452414547,0.6217506164409298,0.5777953157296791,0.6283604162625778,0.8024485183925528,0.7849389067930015,0.7849389067930015,1
73,0.8637405610628159,0.6286847376903208,0.5874966325344031,0.6104178361148915,0.8143081758549163,0.7990430449204786,0.7990430449204786,1
74,0.8521220767051467,0.6347425299952885,0.5957438455972236,0.5936641766984239,0.8251957547006747,0.8116202074543315,0.8116202074543315,1
75,0.8410035231020241,0.6402223683216012,0.6032526526329685,0.5787879861572869,0.8326574812583423,0.81995585960124,0.81995585960124,1
76,0.8307855469493214,0.6450694501745396,0.6097973423750558,0.5656415836678611,0.8371212422565436,0.8247483449538162,0.8247483449538162,1
77,0.8211984379574996,0.6494148227175335,0.615347316510476,0.5526305820442673,0.8441918181309325,0.8322793289659958,0.8322793289659958,1
78,0.8123541627236996,0.6532374464624126,0.6205878499404505,0.5421438625989816,0.8452717193492101,0.8331163174053435,0.8331163174053435,1
79,0.8041693052756281,0.656888454985329,0.625146119500404,0.5315799246995877,0.8497411570904806,0.8373829043439335,0.8373829043439335,1
80,0.7962728727621053,0.6602324917077853,0.6294700948842602,0.5230496458263478,0.8497976344686062,0.8365138681191135,0.8373829043439335,0
81,0.7888467209443983,0.663333735951476,0.6333307762108373,0.5146919616267213,0.8514712140942153,0.8375418001457856,0.8375418001457856,1
82,0.781921588539689,0.6663548237213378,0.6371149727654873,0.5088484078390986,0.8473703147749888,0.8314983925424306,0.8375418001457856,0
83,0.7751533453161631,0.6691630683473839,0.6405452486606902,0.5017758193306434,0.8485320463333993,0.8318140783011203,0.8375418001457856,0
84,0.7691220866352417,0.6716678976670698,0.6435949139787526,0.4964019853589881,0.8463622637208124,0.827895002223366,0.8375418001457856,0
85,0.7629417886757307,0.6742440446760088,0.6466942632296651,0.4920052653576574,0.8430519174676616,0.8224465553940898,0.8375418001457856,0
86,0.7573634984050589,0.6765630311053749,0.6495381086477474,0.4875460140980207,0.840991561625018,0.8184065717045366,0.8375418001457856,0
87,0.7518473705853236,0.6788554791855692,0.6521469425997591,0.4846750707325772,0.8358148869372731,0.8098947857324452,0.8375418001457856,0
88,0.7467422809585298,0.6810766518754412,0.6547822315256616,0.48151874733276856,0.8327950312882663,0.804137119190608,0.8375418001457856,0
89,0.7415401998676773,0.6831531199231131,0.6572848001614995,0.47958749284346897,0.8273575046330274,0.7957587781874333,0.8375418001457856,0
90,0.7364056241434638,0.6853623880019063,0.6597897293213131,0.4775548488156408,0.8239047248118588,0.7887666964520049,0.8375418001457856,0
91,0.7315154365879705,0.6875875960097747,0.6623811754460034,0.4760968419603812,0.819608768102003,0.7816590080361593,0.8375418001457856,0
92,0.726650366274464,0.68967537309958,0.6647593706603934,0.4757267150741357,0.8143501624436433,0.7726356794653513,0.8375418001457856,0
93,0.7216516889947245,0.6918298302238679,0.6672441261757183,0.4757917234912897,0.8086325160433402,0.7631471936792079,0.8375418001457856,0
94,0.7168922794175847,0.6940483194695711,0.6697636905233245,0.4775027086974209,0.7997785134931507,0.7501239145655434,0.8375418001457856,0
95,0.7119144325535927,0.69637556603414,0.672428317447587,0.4785822365019057,0.7948425883542735,0.7403339071372328,0.8375418001457856,0
96,0.7071230784786641,0.6986285525958306,0.674852678804742,0.4790772994359334,0.7909975035590042,0.7323361125781127,0.8375418001457856,0
97,0.7021698424113302,0.7010515723994726,0.6776316636682633,0.48231312186799496,0.7830310263428345,0.7192482975325096,0.8375418001457856,0
98,0.6972925873649237,0.7034072658409699,0.6802195141426567,0.4843855020709527,0.7791572381824534,0.7112007097018705,0.8375418001457856,0
99,0.6917824552482424,0.7063246349406007,0.6835339639869544,0.4895754927116582,0.7702473916342305,0.6983464085824479,0.8375418001457856,0
100,0.6864805705966701,0.7088411929078134,0.6862779510923113,0.49545374780129164,0.7638720540012053,0.6877044596290987,0.8375418001457856,0
