epoch,train_loss,train_rmse,train_r2,train_mape,val_loss,val_rmse,val_r2,val_mape,best_val_rmse,is_best
5,47.70021577406483,6.906534269397435,0.7281714348118834,26.005351189427845,164.07111873982933,12.80902505536068,0.4848026286146885,61.9141596777328,11.99661203016297,0
6,41.47302252260071,6.439955153347455,0.7636573942491124,20.611253150965236,168.16794424078387,12.967958437347248,0.4719382531647628,69.11592515095475,11.99661203016297,0
7,39.92283422322224,6.318451904241323,0.7725742943155083,19.83770274445346,172.62101912464368,13.138531986820318,0.4579552110010022,75.47316802161575,11.99661203016297,0
8,38.69043759211679,6.220163790254826,0.7795153452301031,19.19788354863512,171.38312705749675,13.091337961567394,0.4618423014473084,78.3322661894627,11.99661203016297,0
9,38.03688603157917,6.1674051450433165,0.7832524410097543,18.861964474412204,183.76855448505907,13.556126224404784,0.42295099540603487,85.18666738571088,11.99661203016297,0
10,37.501422321042355,6.123840478930947,0.7863045165543455,18.710083900711002,181.03714241814,13.455004576633812,0.43152785680480554,85.91538461787684,11.99661203016297,0
11,37.03461456868982,6.0856071612406115,0.7889505724039361,18.63121380790907,172.77324610187705,13.1443238643655,0.4574772049299024,82.58441286216566,11.99661203016297,0
12,36.673914869015874,6.055899176148342,0.7910370477894438,18.58406099437432,186.0789194957448,13.641074880465307,0.41569624938045313,88.62417085540557,11.99661203016297,0
13,36.294140345589476,6.024461822984371,0.7932264459961039,18.525189043123053,180.56432268751604,13.437422642002447,0.43301255489936397,86.61227085319138,11.99661203016297,0
14,35.919938812612884,5.993324504709862,0.7953155551416753,18.45764992285296,184.88408134076872,13.597208747174276,0.41944814355245064,89.45670973476716,11.99661203016297,0
