id,created_at,updated_at,s_node_id,e_node_id,length,street_id,max_velocity,street_level,name,type,type_bus_station,type_car,type_cinema,type_clothes,type_company,type_convenience,type_fuel,type_government,type_house,type_marketplace,type_motorway,type_motorway_link,type_pitch,type_primary,type_primary_link,type_residential,type_school,type_secondary,type_secondary_link,type_tertiary,type_tertiary_link,type_trunk,type_trunk_link,type_unclassified,type_university
15,2020-10-18T13:26:19.032Z,2020-10-18T13:26:19.032Z,2414,2767,0.015,8,,4,Nguyễn Khoái,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,2020-10-18T13:26:19.088Z,2020-10-18T13:26:19.088Z,2415,600,0.095,8,,4,Nguyễn Khoái,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,2020-10-18T13:26:19.941Z,2020-10-18T13:26:19.941Z,7726,8103,0.014,9,,4,Nguyễn Văn Lượng,unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,2020-10-18T13:26:19.965Z,2020-10-18T13:26:19.965Z,2359,2353,0.089,10,,4,Trương Quốc Dung,unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,2020-10-18T13:26:19.989Z,2020-10-18T13:26:19.989Z,927,2359,0.039,10,,4,Trương Quốc Dung,unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,2020-10-18T13:26:19.994Z,2020-10-18T13:26:19.994Z,7362,939,0.042,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2020-10-18T13:26:19.997Z,2020-10-18T13:26:19.997Z,7362,6433,0.05,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2020-10-18T13:26:19.999Z,2020-10-18T13:26:19.999Z,6433,7362,0.05,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2020-10-18T13:26:20.005Z,2020-10-18T13:26:20.005Z,6433,719,0.089,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2020-10-18T13:26:20.008Z,2020-10-18T13:26:20.008Z,719,6433,0.089,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2020-10-18T13:26:20.022Z,2020-10-18T13:26:20.022Z,719,11107,0.069,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,2020-10-18T13:26:20.025Z,2020-10-18T13:26:20.025Z,11107,719,0.069,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,2020-10-18T13:26:20.028Z,2020-10-18T13:26:20.028Z,11107,6432,0.073,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,2020-10-18T13:26:20.031Z,2020-10-18T13:26:20.031Z,6432,11107,0.073,11,,4,Tản Đà,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2020-10-18T13:26:20.035Z,2020-10-18T13:26:20.035Z,10793,10792,0.034,12,,4,Đường số 7,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,2020-10-18T13:26:20.885Z,2020-10-18T13:26:20.885Z,4979,4062,0.024,13,,4,Nguyễn Hồng Đào,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-10-18T13:26:21.623Z,2020-10-18T13:26:21.623Z,7268,7269,0.025,14,,4,Trường Sa,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,2020-10-18T13:26:21.645Z,2020-10-18T13:26:21.645Z,7268,9463,0.09,14,,4,Trường Sa,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2020-10-18T13:26:23.827Z,2020-10-18T13:26:23.827Z,5031,2208,0.04,15,,3,Trần Não,secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-10-18T13:26:23.907Z,2020-10-18T13:26:23.907Z,2211,2212,0.042,15,,3,Trần Não,secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-10-18T13:26:23.961Z,2020-10-18T13:26:23.961Z,8283,8284,0.016,15,,3,Trần Não,secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-10-18T13:26:24.224Z,2020-10-18T13:26:24.224Z,5358,5359,0.127,16,,4,Phạm Đăng Giảng,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,2020-10-18T13:26:24.233Z,2020-10-18T13:26:24.233Z,8368,5358,0.102,16,,4,Phạm Đăng Giảng,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,2020-10-18T13:26:24.252Z,2020-10-18T13:26:24.252Z,5360,8368,0.101,16,,4,Phạm Đăng Giảng,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,2020-10-18T13:26:24.259Z,2020-10-18T13:26:24.259Z,8502,5360,0.014,16,,4,Phạm Đăng Giảng,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,2020-10-18T13:26:24.290Z,2020-10-18T13:26:24.290Z,5361,8503,0.058,16,,4,Phạm Đăng Giảng,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2020-10-18T13:26:24.300Z,2020-10-18T13:26:24.300Z,339,7420,0.05,16,,4,Phạm Đăng Giảng,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,2020-10-18T13:26:26.115Z,2020-10-18T13:26:26.115Z,274,3960,0.114,17,,4,Đại Lộ III,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,2020-10-18T13:26:27.135Z,2020-10-18T13:26:27.135Z,615,1279,0.025,18,,4,Dương Thị Mười,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,2020-10-18T13:26:27.139Z,2020-10-18T13:26:27.139Z,615,9299,0.011,18,,4,Dương Thị Mười,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,2020-10-18T13:26:27.572Z,2021-04-04T09:05:39.097Z,8289,868,0.204,19,,4,Trần Não,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,2020-10-18T13:26:27.591Z,2021-04-04T09:05:41.163Z,868,8288,0.005,19,,4,Trần Não,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,2020-10-18T13:26:27.610Z,2021-04-04T09:05:44.165Z,1076,464,0.021,19,,4,Trần Não,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2020-10-18T13:26:27.613Z,2021-04-04T09:05:46.876Z,464,857,0.016,19,,4,Phường Thảo Điền,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,2020-10-18T13:26:27.616Z,2021-04-04T09:05:48.324Z,857,828,0.027,19,,4,Trần Não,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,2020-10-18T13:26:27.619Z,2021-04-04T09:05:52.060Z,828,8285,0.03,19,,4,Trần Não,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,2020-10-18T13:26:27.629Z,2021-04-04T09:05:53.489Z,8285,1308,0.004,19,,4,Trần Não,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
