_id,long,lat,in_segments
5627703157,106.7161469,10.8242024,no
5633013376,106.7238172,10.8257934,no
5633683658,106.7256499,10.8330603,no
366436012,106.5878776,10.7548609,no
5635452070,106.7303793,10.8493761,no
5893003104,106.6431373,10.8395807,no
5738080734,106.5849675,10.8818653,no
5627490254,106.7171975,10.8329727,no
5735458547,106.7642194,10.82158,no
5635700477,106.7305993,10.848653,no
3379561179,106.6067631,10.8026675,no
5085250332,106.7778055,10.834927,no
5764864364,106.8131889,10.8693475,no
5627570095,106.7249157,10.8340894,no
5762724148,106.7706929,10.8770142,no
5750758840,106.6787615,10.8886629,no
5051609428,106.662891,10.7642916,no
5727024329,106.6583808,10.8049545,no
5733453074,106.8043935,10.8129993,no
4538876520,106.6428198,10.7694198,no
5764978017,106.8043515,10.870909,no
5635588847,106.7304269,10.8467545,no
5765040387,106.8432051,10.853714,no
2934154440,106.7172584,10.7244794,no
367754161,106.6192549,10.6994527,no
5764864794,106.6841501,10.8698509,no
367440989,106.6282249,10.8252352,no
5635241405,106.7281665,10.8506794,no
5635334675,106.7229432,10.8366617,no
3813457969,106.7031076,10.7791113,no
5627487077,106.7168101,10.8323414,no
5633584191,106.7290883,10.8360492,no
5627520942,106.7317246,10.8293563,no
4178488570,106.6162446,10.8588298,no
366445204,106.7163924,10.7498761,no
367707538,106.8583187,10.7885691,no
5767103090,106.6581072,10.862287,no
474942896,106.6657331,10.7591317,no
5633186258,106.7248724,10.8275774,no
474952033,106.715896,10.80824,no
5102376094,106.7803218,10.8230513,no
5112594873,106.633802,10.7857795,no
5906595676,106.6654966,10.8515851,no
5632733221,106.7327546,10.8347707,no
5755180659,106.6681337,10.8794099,no
5735459348,106.6188744,10.8145647,no
3806429824,106.6409459,10.8181023,no
5627384232,106.7666177,10.8502159,no
5635697276,106.7279768,10.8440377,no
4639626639,106.7113242,10.7942227,no
5635496919,106.7315595,10.841626,no
5750509655,106.6602516,10.7324097,no
5076456830,106.6181815,10.7639531,no
5939097318,106.6759016,10.8472706,no
2191965162,106.6095405,10.8573194,no
5627618899,106.729456,10.8319658,no
5074799015,106.6669411,10.7833767,no
5633107775,106.7181444,10.8266359,no
4956526379,106.7459739,10.77832,no
5632870469,106.7218152,10.8293704,no
5765078809,106.6579369,10.7741814,no
3298523280,106.6927543,10.8613545,no
5740633075,106.7319527,10.8223178,no
367249194,106.7317766,10.6821371,no
367565664,106.8149267,10.7546212,no
5038427271,106.5651153,10.7718754,no
5633090827,106.7251958,10.8256927,no
5755090101,106.6556731,10.8810771,no
474950037,106.703732,10.803275,no
5788334712,106.6995896,10.7313483,no
5765004495,106.5875545,10.6816905,no
5751046371,106.8650624,10.8856049,no
2366641601,106.6669907,10.8116324,no
5742463933,106.7059698,10.8219278,no
367720811,106.7889786,10.7788033,no
3091108406,106.7341937,10.8134353,no
5798000727,106.6039559,10.7579767,no
367164815,106.5495465,10.6864252,no
2044486254,106.6865562,10.7477098,no
367325213,106.6637656,10.7430342,no
5633138644,106.7335611,10.8392028,no
5725019017,106.6615478,10.8021663,no
3238892331,106.6739037,10.74768,no
5627305796,106.7614855,10.847703,no
5635163301,106.7195222,10.8296674,no
5873236837,106.6709013,10.8077511,no
5765332023,106.6087657,10.6817211,no
2495943773,106.6480718,10.7230121,no
5633811989,106.7149831,10.8314665,no
6032513963,106.7196454,10.8167899,no
2939381006,106.8120907,10.8833139,no
2091954770,106.6345884,10.8076089,no
5740194898,106.5679903,10.8269241,no
3392581279,106.822476,10.8624286,no
5748095784,106.5885304,10.8379531,no
1834407938,106.7951358,10.7605523,no
5635240225,106.7291965,10.8513571,no
5627331764,106.7591293,10.8500902,no
5633714843,106.7243874,10.8317991,no
5757674294,106.5798843,10.7805186,no
5635975956,106.7279042,10.8396444,no
5635877330,106.7295675,10.8407681,no
2976115995,106.8532215,10.8870843,no
367312742,106.6981466,10.696562,no
2940102975,106.8078789,10.8787535,no
5023312717,106.7510344,10.8066097,no
5748777321,106.5768564,10.7936081,no
5794883997,106.6747087,10.7603109,no
3339904826,106.598346,10.7539186,no
367491286,106.707221,10.875314,no
367568805,106.6038485,10.7249499,no
5789200134,106.686581,10.8196183,no
367710602,106.8271144,10.7967226,no
4217007853,106.6481219,10.7725063,no
2500251240,106.6064191,10.7901814,no
5441077255,106.770502,10.8673894,no
2500251195,106.6065606,10.7894958,no
5750591768,106.5707533,10.8420188,no
5090934270,106.7736452,10.8315328,no
5762770644,106.6878623,10.7423894,no
367255580,106.6980746,10.6865027,no
5636099473,106.7101858,10.8307072,no
5753048929,106.8047208,10.8811456,no
5748732412,106.6863441,10.7295109,no
4935595330,106.7740575,10.8563796,no
5783388960,106.5828374,10.7590521,no
5752809656,106.8331736,10.8818937,no
5750672674,106.6730404,10.8886234,no
5633328361,106.737583,10.8420018,no
2955363920,106.7942987,10.8669035,no
5635304185,106.7285839,10.8380839,no
2954723072,106.787049,10.8570083,no
367395715,106.6737127,10.6872155,no
5627591093,106.7316939,10.8328428,no
1768313276,106.7196675,10.7287884,no
5627628010,106.7244502,10.8344166,no
5803395588,106.6651279,10.7577759,no
5633213651,106.728505,10.8320969,no
5755183500,106.5726909,10.7813286,no
367247357,106.724071,10.6839777,no
1605286126,106.8362525,10.7053467,no
2157805056,106.7335987,10.7335272,no
5633272706,106.7317845,10.8357896,no
366419230,106.7761811,10.8238125,no
5627310453,106.7660867,10.8485,no
5627571177,106.7107099,10.8322327,no
5627447944,106.7696776,10.846631,no
5633567124,106.7104019,10.8265872,no
367708758,106.8603136,10.7980855,no
4786206869,106.6022077,10.7217952,no
5733215579,106.7901639,10.7588396,no
367702557,106.8155773,10.818716,no
367702586,106.8142686,10.8196529,no
5755395998,106.570753,10.6798469,no
5750708983,106.6005859,10.7128947,no
2477050343,106.7732691,10.8530528,no
367731283,106.8462954,10.837136,no
2692556823,106.6918316,10.768476,no
1833372956,106.7525573,10.7547117,no
4837876445,106.7987102,10.8772352,no
5635429368,106.7268927,10.8486928,no
5767300259,106.5901199,10.7673437,no
5873236865,106.6708579,10.8070371,no
5093586905,106.7766776,10.8299832,no
367715276,106.787828,10.8283748,no
5873236753,106.673794,10.8052022,no
5627550946,106.7368295,10.8400121,no
5627430841,106.7702638,10.8463733,no
4999403232,106.7758673,10.8496206,no
5636131918,106.7294353,10.847971,no
5799069472,106.685651,10.8236023,no
5777195859,106.7086919,10.8046234,no
5635348993,106.7155443,10.8295445,no
5627640828,106.736458,10.8398801,no
5742096429,106.8003958,10.8547925,no
367274870,106.6957493,10.7054877,no
3614214185,106.6837691,10.8119919,no
5581495517,106.7898529,10.7519833,no
2934618955,106.7056397,10.7716077,no
