level,max_velocity,name,type,id,lat,lon,tags.highway,tags.railway,tags.traffic_signals,tags.barrier,tags.junction,tags.name,tags.note,tags.addr:street,tags.addr:housenumber,tags.operator,tags.name:vi,tags.access,nodes,tags.addr:city,tags.addr:district,tags.name:en,tags.ref,tags.addr:subdistrict,tags.service,tags.oneway,tags.old_name,tags.surface,tags.name:zh,tags.maxspeed,tags.foot,tags.bicycle,tags.layer,tags.bridge_name,tags.bridge_name:en,tags.bridge,tags.motorcar,tags.motorcycle:oneway,tags.bicycle:oneway,tags.horse,tags.lanes,tags.motorroad,tags.construction,tags.int_ref,tags.alt_name,tags.amenity,tags.crossing,tags.oneway:bicycle,tags.oneway:motorcar,tags.oneway:motorcycle,tags.motorcycle,tags.cycleway,members,tags.hour_off,tags.hour_on,tags.type,tags.except,tags.restriction,tags.network,tags.public_transport,tags.bench,tags.shelter,tags.building,tags.bridge:name,tags.bridge:name:en,tags.int_name,tags.lit,tags.motor_vehicle,tags.tourism,tags.car,tags.hgv,tags.area,tags.tactile_paving,tags.crossing_ref,tags.source,tags.name:de,tags.bus,tags.ski,tags.snowmobile,tags.wheelchair,tags.entrance,tags.religion,tags.name:ru,tags.noexit,tags.cuisine,tags.diet:vegetarian,tags.diet:vegan,tags.sidewalk,tags.motorcar:backward,tags.old_name:vi,tags.old_name:fr,tags.shop,tags.leisure,tags.name:vi-hani,tags.old_name:zh,tags.addr:province,tags.old_name:en,tags.addr:housename,tags.addr:postcode,tags.highway_1,tags.name:es,tags.width,tags.supervised,tags.name:pt,tags.description,tags.source:maxspeed,tags.fee,tags.parking,tags.tunnel,tags.proposed,tags.button_operated,tags.traffic_signals:sound,tags.level,tags.bicycle:forward,tags.ele,tags.addr:street:name,tags.maxheight,tags.stop,tags.minspeed,tags.maxweight,tags.phone,tags.website,tags.name:ja,tags.name:th,tags.fixme,tags.lay,tags.addr:place,tags.information,tags.ferry,tags.covered,tags.motorcar:forward,tags.footway
2,,Hoàng Văn Thụ,primary,568,,,primary,,,,,Hoàng Văn Thụ,,,,,,,"[2061032822, 5765288345, 5765288347, 5181086852, 2288699449, 366450379, 3116883003, 3771398753, 4541470627, 366390897, 3116883004, 5762726353, 2081753800, 2081753897, 3116883006, 2081753678, 5721686017]",Ho Chi Minh,Tan Binh,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,T1 Loop,tertiary,569,,,tertiary,,,,,T1 Loop,,,,,,,"[366388635, 2072605346]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10.0,Đường dẫn ga Quốc nội,secondary_link,570,,,secondary_link,,,,,Đường dẫn ga Quốc nội,,,,,,,"[4948841957, 5598591723, 5598591724, 2072605042, 5598591725, 2072605377, 2072605339, 2072605256, 2072605322, 2072605314, 2072605243, 2072605350, 2072605149, 5725019006, 5725019007, 2078950609]",,,,,,,yes,,,,10,no,no,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50.0,Hồng Hà,secondary,571,,,secondary,,,,,Hồng Hà,,,,,,,"[366464142, 2072605054, 2072605088, 2072605212, 2072605244, 5738593651, 2072605282, 3342169684, 2072605384, 1774952076, 5738593664, 5735306208, 3169684691, 5735306217, 366404401, 5719731389, 2077773901, 5738071768, 366467140]",Hồ Chí Minh,Gò Vấp,Hong Ha Street,,3,,yes,,asphalt,红河路,50,yes,yes,,,,,,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20.0,Đường dẫn sảnh đi Quốc tế,tertiary,572,,,tertiary,,,,,Đường dẫn sảnh đi Quốc tế,,,,,,,"[2072605039, 2072605229, 2072605174, 2072605308, 2072605177, 2072605325, 2072605208, 2072605158, 2072605110, 2072605191, 2072605371]",,,,,,,yes,,,,20,,,1,,,yes,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Đường dẫn Ga Quốc tế,tertiary,573,,,tertiary,,,,,Đường dẫn Ga Quốc tế,,,,,,,"[2072605086, 2072605055, 2072605284, 2072605273, 2072605073, 2072605263, 2072605081, 2072605298, 2072605188, 2072605165, 2072605388, 2072605359, 2072605102, 2073272414, 2074102558, 4671854642, 759599258]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Trường Sơn,tertiary,574,,,tertiary,,,,,Trường Sơn,,,,,,,"[2074208764, 2072605346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Trường Sơn,secondary,575,,,secondary,,,,,Trường Sơn,,,,,,,"[676568903, 2077773766, 2077773816, 3169684689, 676568905, 4035870280, 676568906, 5735306179]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Núi Thành,unclassified,576,,,unclassified,,,,,Núi Thành,,,,,,,"[2079964288, 2491887081, 3124975530, 3124975531, 2079964141, 2079964138, 2079964353, 2079964136, 2081354848, 2079964089, 2079964083, 2079964079, 2081354523, 2079964294, 2079964120]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,80.0,Trường Chinh,primary,577,,,primary,,,,,Trường Chinh,,,,,,,"[2079964001, 4597420111, 2091954801, 2079964843, 2079964568, 2091954882, 2091954812, 2247549198, 2247549202, 2079964671, 2251580192, 3655114526, 2251580179, 2247540971, 2079964898, 2247540970, 2079964204, 2091954910, 2079964262, 5718947651, 2091954823, 2079964874, 2247569946, 2091954937, 2079964640]",,,,,,,yes,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Trường Chinh,primary,578,,,primary,,,,,Trường Chinh,,,,,,,"[2409404922, 3152700071, 2049210142, 5721938903, 366476980, 5757491902, 3152700069, 366428472]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Trường Chinh,primary,579,,,primary,,,,,Trường Chinh,,,,,,,"[2079964012, 5356329018]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
