node_id,longitude,latitude,node_index
366367392,106.6140317,10.7757322,0
366367451,106.6953663,10.7937916,1
366367839,106.6645284,10.8076894,2
366367847,106.671636,10.8145888,3
366368010,106.6447733,10.7630425,4
366368046,106.7143821,10.8011736,5
366368048,106.6651797,10.755757,6
366368058,106.5894653,10.8805808,7
366368110,106.5582414,10.6866367,8
366368118,106.6718962,10.8293605,9
366368125,106.7089225,10.79196,10
366368264,106.6507117,10.7533034,11
366368313,106.6841719,10.7546334,12
366368374,106.675257,10.7812241,13
366368454,106.7159791,10.8272547,14
366368534,106.6852023,10.8251451,15
366368670,106.6521393,10.7895903,16
366368680,106.6512627,10.7578738,17
366368702,106.6533233,10.7757726,18
366368733,106.6526388,10.796588,19
366368776,106.6798468,10.8301214,20
366368866,106.725621,10.8319797,21
366369010,106.6052567,10.8583152,22
366369078,106.6644795,10.8072313,23
366369124,106.6077622,10.8858732,24
366369343,106.6583334,10.75642,25
366369386,106.6630147,10.8387654,26
366369424,106.672682,10.7973534,27
366369448,106.6929629,10.8534957,28
366369553,106.6582476,10.7994904,29
366369589,106.6443078,10.8326063,30
366369613,106.6777939,10.8412476,31
366369675,106.6580009,10.7608606,32
366369712,106.6634893,10.8350828,33
366369725,106.7306955,10.7935921,34
366369819,106.6756995,10.8011427,35
366369911,106.6966309,10.8113412,36
366370087,106.643825,10.7578558,37
366370127,106.6720271,10.8292954,38
366370132,106.6522035,10.7620489,39
366370205,106.7275178,10.8335624,40
366370214,106.5977085,10.8883195,41
366370396,106.6526588,10.7584084,42
366370579,106.7290101,10.834751,43
366370597,106.6682969,10.7927968,44
366370659,106.730401,10.8740141,45
366370744,106.7624467,10.8678589,46
366370772,106.6463092,10.7582248,47
366370822,106.6768179,10.8734556,48
366370840,106.739242,10.87027,49
366370841,106.6719775,10.8146925,50
366370846,106.663773,10.755487,51
366370884,106.6445172,10.7796593,52
366370938,106.6641612,10.7768786,53
366370966,106.7675662,10.8385833,54
366370969,106.5931834,10.8753497,55
366370971,106.6660257,10.7959425,56
366371126,106.6506001,10.7523777,57
366371269,106.6452335,10.764512,58
366371375,106.6525082,10.7689285,59
366371524,106.6346835,10.7872262,60
366371563,106.6444544,10.7612154,61
366371606,106.600228,10.8394224,62
366371650,106.6757437,10.758139,63
366371716,106.6341705,10.8147121,64
366371718,106.7632042,10.8691813,65
366371762,106.6526094,10.7637745,66
366371791,106.6979393,10.7282205,67
366371920,106.7048425,10.811203,68
366371947,106.7902219,10.8599774,69
366371983,106.5888394,10.8863061,70
366372109,106.6613755,10.7833862,71
366372123,106.7380185,10.8559127,72
366372146,106.6164927,10.8645089,73
366372201,106.5887362,10.8816272,74
366372283,106.6556852,10.7507611,75
366372346,106.6555047,10.8372113,76
366372360,106.6563495,10.7992953,77
366372384,106.7750639,10.8700479,78
366372405,106.6940276,10.7516447,79
366372448,106.6717837,10.7666755,80
366372479,106.7120102,10.809094,81
366372500,106.6558902,10.7640087,82
366372531,106.6741418,10.8091082,83
366372609,106.6071191,10.7763394,84
366372662,106.6137279,10.8829136,85
366373000,106.61845,10.8807304,86
366373152,106.6794096,10.8150014,87
366373335,106.7506191,10.8461068,88
366373684,106.730999,10.7954565,89
366374009,106.6886115,10.8166398,90
366374481,106.5610605,10.6875672,91
366374497,106.6442184,10.7599516,92
366374517,106.7588363,10.8227968,93
366374523,106.6801112,10.8658951,94
366374703,106.6524361,10.7634588,95
366374786,106.6983326,10.7961525,96
366375021,106.6118683,10.7329307,97
366375217,106.682563,10.8325304,98
366375452,106.6775614,10.7993025,99
366375474,106.6571312,10.7824462,100
366375817,106.5944057,10.6964761,101
366376079,106.7800794,10.868445,102
366376094,106.665484,10.8541753,103
366376109,106.7349099,10.8550441,104
366376119,106.7197217,10.8282751,105
366376345,106.6553811,10.7623153,106
366376364,106.6654612,10.8544593,107
366376424,106.7106773,10.7893855,108
366376494,106.6775689,10.8308983,109
366376600,106.6028965,10.8615834,110
366377002,106.790512,10.8597106,111
366377012,106.6670704,10.7791045,112
366377084,106.6524779,10.796588,113
366377467,106.7954677,10.8626358,114
366377549,106.7627181,10.8508455,115
366377815,106.7319907,10.8770572,116
366378284,106.6152683,10.868816,117
366378369,106.7168775,10.8002083,118
366378637,106.7343846,10.8547733,119
366378660,106.7633215,10.8705977,120
366378675,106.6880811,10.8228559,121
366378816,106.6817217,10.8853064,122
366378916,106.6639375,10.7755762,123
366378949,106.6736437,10.7977764,124
366378988,106.6906393,10.7961263,125
366379003,106.7711202,10.8712151,126
366379020,106.6910083,10.8247327,127
366379096,106.747025,10.8026421,128
366379261,106.6416061,10.8023484,129
366379451,106.6883415,10.8223533,130
366379655,106.6784654,10.8081981,131
366379959,106.5891866,10.8865151,132
366379977,106.6640311,10.7659517,133
366379996,106.5981184,10.887776,134
366380052,106.7607926,10.8265715,135
366380113,106.7339052,10.8002223,136
366380126,106.7593304,10.8239454,137
366380463,106.6546646,10.7965047,138
366380514,106.757741,10.8176345,139
366380757,106.7725372,10.8623945,140
366380783,106.6884045,10.7415004,141
366380822,106.6148365,10.7385684,142
366380857,106.6313877,10.7879934,143
366380878,106.6584254,10.7506713,144
366380992,106.6582395,10.7577421,145
366381090,106.7497884,10.8033158,146
366381136,106.7296872,10.7986072,147
366381195,106.6244421,10.8550444,148
366381218,106.6550805,10.7651275,149
366381246,106.6285498,10.7812306,150
366381386,106.684482,10.8033105,151
366381582,106.7421734,10.840658,152
366381588,106.6821378,10.8304707,153
366381601,106.6655776,10.8003879,154
366381640,106.6979491,10.7950505,155
366381724,106.5673039,10.6898044,156
366381926,106.8193482,10.8878353,157
366381962,106.7731733,10.8492918,158
366381991,106.7389023,10.8701657,159
366382091,106.8064473,10.871073,160
366382100,106.6716163,10.7918192,161
366382113,106.692959,10.8490044,162
366382187,106.64996,10.7676393,163
366382203,106.6986141,10.7517206,164
366382389,106.7188969,10.8280852,165
366382396,106.7289417,10.8469839,166
366382900,106.5556052,10.6859009,167
366383094,106.6654681,10.796366,168
366383168,106.6606645,10.7726094,169
366383254,106.6792437,10.8280713,170
366383283,106.6703841,10.8334675,171
366383389,106.6836257,10.7509485,172
366383425,106.717736,10.7571329,173
366383455,106.6289013,10.7465385,174
366383485,106.6499666,10.7804,175
366383490,106.7707504,10.8451212,176
366383594,106.5856745,10.7159649,177
366383646,106.6584612,10.7551499,178
366383685,106.6628888,10.758032,179
366383709,106.6114393,10.7762477,180
366383786,106.7265583,10.703606,181
366383837,106.6768526,10.8753301,182
366383838,106.7813494,10.8342567,183
366383913,106.6683359,10.8065631,184
366383937,106.6609472,10.7602094,185
366383949,106.6817654,10.7482816,186
366384110,106.7321155,10.7045223,187
366384160,106.6414169,10.867202,188
366384168,106.7581999,10.8187919,189
366384230,106.6736225,10.8153305,190
366384363,106.6700137,10.7678404,191
366384540,106.6319839,10.8498819,192
366384568,106.5879562,10.8496569,193
366384626,106.5554753,10.7909507,194
366384637,106.6617536,10.7837858,195
366384807,106.684366,10.8286518,196
366384813,106.6411857,10.7719941,197
366384829,106.6523255,10.7533894,198
366385024,106.7789051,10.8528222,199
366385182,106.6893263,10.7456384,200
366385187,106.6518377,10.7897093,201
366385280,106.6249308,10.7817224,202
366385378,106.6938401,10.8143614,203
366385395,106.7281831,10.8340985,204
366385480,106.6959191,10.811816,205
366385557,106.6225374,10.8781162,206
366385591,106.6661354,10.7784137,207
366385717,106.6097719,10.8788954,208
366385739,106.7534794,10.8495638,209
366385881,106.6677238,10.7750851,210
366386004,106.6370433,10.8172393,211
366386025,106.6338072,10.7594365,212
366386069,106.6696497,10.8608943,213
366386087,106.7970824,10.8144883,214
366386123,106.7634318,10.8708938,215
366386176,106.7514383,10.8041188,216
366386184,106.6574837,10.7992535,217
366386222,106.5914111,10.8778215,218
366386467,106.7641935,10.8261485,219
366386493,106.6367783,10.7824716,220
366386524,106.6689314,10.7408144,221
366386566,106.660704,10.7610771,222
366386635,106.7798009,10.7660435,223
366386670,106.6748455,10.8318571,224
