id,tags.oneway,segment_id
55,yes,447
55,yes,448
56,no,449
56,no,450
57,no,451
57,no,452
57,no,453
57,no,454
57,no,455
57,no,456
57,no,457
57,no,458
57,no,459
57,no,460
57,no,461
57,no,462
57,no,463
57,no,464
57,no,465
57,no,466
57,no,467
57,no,468
57,no,469
57,no,470
57,no,471
57,no,472
57,no,473
57,no,474
57,no,475
57,no,476
57,no,477
57,no,478
57,no,479
57,no,480
57,no,481
57,no,482
57,no,483
57,no,484
58,no,485
59,no,486
59,no,487
59,no,488
60,no,489
60,no,490
60,no,491
60,no,492
60,no,493
60,no,494
60,no,495
60,no,496
60,no,497
60,no,498
60,no,499
60,no,500
60,no,501
60,no,502
60,no,503
60,no,504
60,no,505
60,no,506
60,no,507
60,no,508
60,no,509
60,no,510
60,no,511
61,no,512
61,no,513
61,no,514
61,no,515
62,no,516
62,no,517
62,no,518
62,no,519
62,no,520
62,no,521
62,no,522
62,no,523
62,no,524
62,no,525
62,no,526
62,no,527
62,no,528
62,no,529
62,no,530
62,no,531
62,no,532
62,no,533
62,no,534
62,no,535
62,no,536
62,no,537
62,no,538
62,no,539
62,no,540
62,no,541
62,no,542
62,no,543
62,no,544
62,no,545
62,no,546
62,no,547
62,no,548
62,no,549
62,no,550
62,no,551
62,no,552
62,no,553
62,no,554
62,no,555
62,no,556
62,no,557
62,no,558
62,no,559
62,no,560
62,no,561
62,no,562
62,no,563
62,no,564
62,no,565
62,no,566
63,no,567
64,no,568
64,no,569
64,no,570
64,no,571
64,no,572
64,no,573
64,no,574
64,no,575
65,no,576
66,no,577
67,no,578
67,no,579
67,no,580
67,no,581
67,no,582
67,no,583
67,no,584
67,no,585
67,no,586
67,no,587
67,no,588
67,no,589
67,no,590
67,no,591
67,no,592
67,no,593
67,no,594
67,no,595
67,no,596
67,no,597
67,no,598
67,no,599
67,no,600
67,no,601
67,no,602
67,no,603
67,no,604
67,no,605
67,no,606
67,no,607
67,no,608
67,no,609
67,no,610
67,no,611
67,no,612
67,no,613
67,no,614
67,no,615
67,no,616
67,no,617
67,no,618
67,no,619
67,no,620
67,no,621
67,no,622
67,no,623
67,no,624
67,no,625
67,no,626
67,no,627
67,no,628
67,no,629
67,no,630
67,no,631
67,no,632
67,no,633
67,no,634
67,no,635
67,no,636
67,no,637
67,no,638
67,no,639
67,no,640
67,no,641
67,no,642
67,no,643
67,no,644
67,no,645
67,no,646
67,no,647
67,no,648
67,no,649
67,no,650
67,no,651
67,no,652
67,no,653
67,no,654
67,no,655
67,no,656
67,no,657
67,no,658
67,no,659
67,no,660
67,no,661
67,no,662
67,no,663
67,no,664
67,no,665
67,no,666
67,no,667
67,no,668
67,no,669
67,no,670
67,no,671
67,no,672
67,no,673
67,no,674
67,no,675
67,no,676
67,no,677
67,no,678
68,yes,679
68,yes,680
