type,id,tags.highway,tags.traffic_signals,tags.junction,tags.name,tags.note,tags.addr:street,tags.addr:housenumber,tags.name:vi,tags.access,nodes,tags.addr:city,tags.addr:district,tags.name:en,tags.ref,tags.addr:subdistrict,tags.service,tags.oneway,tags.old_name,tags.surface,tags.name:zh,tags.maxspeed,tags.foot,tags.bicycle,tags.layer,tags.bridge_name,tags.bridge_name:en,tags.bridge,tags.motorcar,tags.motorcycle:oneway,tags.bicycle:oneway,tags.horse,tags.lanes,tags.motorroad,tags.construction,tags.int_ref,tags.alt_name,tags.amenity,tags.crossing,tags.oneway:bicycle,tags.oneway:motorcar,tags.oneway:motorcycle,tags.motorcycle,tags.cycleway,tags.bridge:name,tags.bridge:name:en,tags.int_name,tags.lit,tags.motor_vehicle,tags.car,tags.hgv,tags.area,tags.source,tags.name:de,tags.bus,tags.ski,tags.snowmobile,tags.wheelchair,tags.religion,tags.sidewalk,tags.motorcar:backward,tags.old_name:vi,tags.old_name:fr,tags.name:vi-hani,tags.old_name:zh,tags.addr:province,tags.old_name:en,tags.addr:postcode,tags.width,tags.description,tags.source:maxspeed,tags.tunnel,tags.proposed,tags.level,tags.bicycle:forward,tags.ele,tags.addr:street:name,tags.maxheight,tags.stop,tags.minspeed,tags.maxweight,tags.name:ja,tags.name:th,tags.fixme,tags.lay,tags.information,tags.covered,tags.motorcar:forward,tags.footway
way,32578529,tertiary,,,Tân Chánh Hiệp 39,,,,,,"[3246715972, 366431733, 5753412920, 3246715971, 366462793, 5753413593, 366476429, 5753413524, 366373000, 5753413597, 366426790, 5753413534, 366442853, 366433812, 5753413538, 366391534, 366476015, 5753412909, 366474610, 366432358, 5753412865, 366385557, 5753412868, 366475360, 5753466522, 5753461069, 366392616, 5757503389, 5753461064, 5753461065, 5757466343, 5753461066, 5757466409, 2922944240, 5753461112, 5755038628, 2922944218]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578530,unclassified,,,THOI TAM THÔN 5,,,,,,"[366428316, 5738491100, 366439454, 366449338, 366450757, 4069505890, 366446985, 366437910, 366369124, 5735589501, 5735589487, 5735589635, 366461545, 5735589454, 366414492, 366476940, 5735636838, 366447804, 366420549, 4069505889, 4069505888, 366403994]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578767,residential,,,Trần Chánh Chiếu,,,,,,"[366371126, 1996745093, 5816921546, 1996745425, 366453620]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578991,tertiary,,,Thiên Phước,,,,,,"[2233808761, 5772301817, 5092125062, 1606180418, 1606180402, 366470058, 5092125037, 5765289872, 5765289873, 5765289874, 366368702, 5092125044, 5765289906]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32579421,unclassified,,,Chu Văn An,,,,,,"[366469312, 5733213075, 366369911, 5733217750, 5733213077, 5733217751, 366382210, 5768658306, 366407827, 366443396, 5733213102, 5769514774, 366475288, 5769514784, 366422269, 5769514779, 5733213088, 3631205814, 366450138, 5768658271, 366440482, 5768556275, 5768658274, 366460312, 366428483, 5337055552, 366433576, 2925962352, 366477443, 366389118, 366431307, 5337055560, 366467358, 366378465, 2925962353, 370818172]",,,Chu Van An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32579641,tertiary,,,Bình Thới,,,,,,"[5765289875, 5778381657, 5778381655, 5778381656, 366462295, 366421693, 366382187, 3168349824, 5758065196, 5001799156, 5757532661, 5001799199, 4594381212, 6022345399, 6022345412, 6022345418, 4217006555, 366457992, 5001799137, 5778381587, 5778381592, 5778381602, 5778381661, 5778381662, 5758065181, 4932651973, 5778381560, 4932651979, 5778252044, 366451597, 366401876, 366371269, 4932651988, 5778381660, 5044255971, 5044255972, 5778252051, 366423133, 5778270003, 5778252026, 3700972437, 4929861361, 4929861363, 3700972436, 5778252030, 366477419, 5778252031, 5778252032, 3700972430, 3700972429, 3700972431, 5772562981]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32579894,tertiary,,,Hồ Văn Huê,,,,,,"[5755399608, 366383760, 1409433809, 3167034803, 3654066951, 3654067036, 1409433796, 3654067000, 3654066950, 1409433790, 3654562873, 366408245, 3167034804, 366397928, 1409433751, 3654066949, 712140237, 366369819, 3654066948, 3758592299, 3167034805, 2293477506]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32580086,tertiary,,,Lê Đại Hành,,,,,,"[366404948, 5802717064, 5802717065, 5802717066, 5802717067, 5802717068, 366392112, 5802717069, 4979972014, 366442628, 5788740504, 5552685847, 366369675, 5788625768, 5788625769, 5788625751]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32580243,tertiary,,,Đặng Văn Ngữ,,,,,,"[366421704, 5765073605, 366464678, 4905853977, 4958074311, 2115199006, 4958074310, 366370597, 366466697, 2822144419, 3463112625, 3463112632, 2332691252, 366388389, 366398005, 2332691248, 1500936175, 2332691253, 366367996]",,,Dang Van Ngu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32580762,unclassified,,,Bùi Tư Toàn,,,,,,"[366375021, 1648965050, 5752816777, 366463771, 4275399307, 4275371751, 4275401505, 5752816773, 4275371750, 4276234546, 4275371753, 4275371752, 5752799766, 4275371754, 5009095739, 4275407175, 366469170, 5009095741, 4988383972, 5009095743, 366478333, 4275371755, 4275411908, 3191485721, 366424914, 4292120346, 4292120343, 4275371757, 4275371756, 4275371758, 366421131, 4275371759, 4292130991, 4275371760, 366439330, 4275371761, 366449227, 1929546787]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
