id,s_node_id,e_node_id
1432,879,7304
1433,7304,879
1434,7304,8984
1435,8984,8983
1436,1180,553
1437,11158,8985
1438,10332,6365
1439,7389,7390
1440,2365,3998
1441,2366,3999
1442,4064,806
1443,4061,1230
1444,8606,886
1445,913,4058
1446,913,3591
1447,3591,913
1448,3591,3592
1449,3592,3591
1450,3592,3593
1451,3593,3592
1452,3593,10115
1453,10115,3593
1454,5516,5962
1455,4590,5984
1456,202,4129
1457,2344,10994
1458,799,308
1459,820,799
1460,132,5070
1461,70,132
1462,775,70
1463,2187,775
1464,8410,2187
1465,1131,8410
1466,9012,1131
1467,626,971
1468,1029,6606
1469,1029,7463
1470,7463,1029
1471,7463,7468
1472,7468,7463
1473,7468,4620
1474,4620,7468
1475,4620,757
1476,757,4620
1477,757,7467
1478,7467,757
1479,7467,7477
1480,7477,7467
1481,7477,7464
1482,7464,7477
1483,7464,900
1484,900,7464
1485,900,7471
1486,7471,900
1487,7471,7465
1488,7465,7471
1489,7465,7473
1490,7473,7465
1491,7473,6874
1492,6874,7473
1493,6874,7474
1494,7474,6874
1495,7474,901
1496,901,7474
1497,235,8428
1498,134,5071
1499,5071,1148
1500,546,8457
1501,6898,10869
1502,6898,6427
1503,6427,6898
1504,10745,2700
1505,7388,7387
1506,7387,7385
1507,7385,7790
1508,9416,7386
1509,7386,9413
1510,9413,10514
1511,10514,1020
1512,1020,1169
1513,1169,749
1514,172,6623
1515,1312,10873
1516,6996,4096
1517,8382,8383
1518,8383,935
1519,935,1122
1520,1122,6995
1521,6995,882
1522,882,8127
1523,8127,8126
1524,8125,3804
1525,3804,7040
1526,3805,5665
1527,5665,1150
1528,1150,8364
1529,8364,190
1530,6293,7223
1531,7223,598
1532,598,6292
1533,6292,50
1534,50,3
1535,3,6294
1536,6294,608
1537,608,4932
1538,4932,2041
1539,2897,2898
1540,843,41
1541,41,439
1542,439,5481
1543,5480,865
1544,865,3886
1545,5074,511
1546,511,1173
1547,1173,511
1548,1173,5073
1549,4873,1916
1550,1926,1925
1551,5044,1923
1552,4874,9042
1553,9042,9041
1554,2143,452
1555,452,8163
1556,7755,6894
1557,7755,3544
1558,3544,7755
1559,3544,4675
1560,4675,3544
1561,4675,9141
1562,9141,4675
1563,9141,6915
1564,6915,9141
1565,6915,169
1566,169,6915
1567,169,7757
1568,7757,169
1569,7757,4580
1570,4580,7757
1571,4580,4579
1572,4579,4580
1573,4579,4676
1574,4676,4579
1575,4676,6901
1576,6901,4676
1577,6901,11241
1578,11241,6901
1579,11241,7625
1580,7625,11241
1581,7625,1167
1582,1167,7625
1583,1167,2280
1584,2280,1167
1585,2280,9484
1586,9484,2280
1587,9484,9224
1588,9224,9484
1589,9224,4677
1590,4677,9224
1591,4677,10161
1592,10161,4677
1593,10161,10160
1594,10160,10161
1595,10160,10162
1596,10162,10160
1597,10162,787
1598,787,10162
1599,787,10163
1600,10163,787
1601,10163,53
1602,53,10163
1603,53,558
1604,558,53
1605,558,10158
1606,10158,558
1607,10158,4224
1608,4224,10158
1609,4224,7089
1610,7089,4224
1611,7089,4225
1612,4225,7089
1613,4225,10157
1614,10157,4225
1615,10157,7623
1616,7623,10157
1617,7623,7807
1618,7807,7623
1619,7807,4223
1620,4223,7807
1621,4223,207
1622,207,4223
1623,207,5501
1624,5501,207
1625,5501,5502
1626,5502,5501
1627,5502,112
1628,112,5502
1629,112,4313
1630,4313,112
1631,4313,7637
1632,7637,4313
1633,7637,7622
1634,7622,7637
1635,7622,6184
1636,6184,7622
1637,6184,381
1638,381,6184
1639,381,1118
1640,1118,381
1641,1118,739
1642,739,1118
1643,739,5498
1644,5498,739
1645,5498,7618
1646,7618,5498
1647,7618,5500
1648,5500,7616
1649,7616,7617
1650,7617,5499
1651,5499,7615
1652,7642,7615
1653,7642,7614
1654,530,2828
1655,4965,10391
1656,4965,7377
1657,7377,4965
1658,7377,11292
1659,11292,7377
1660,11292,11293
1661,11293,11292
1662,11293,42
1663,42,11293
1664,42,11295
1665,11295,42
1666,11295,11253
1667,11253,11295
1668,11253,10375
1669,10375,11253
1670,10375,7990
1671,7990,10375
1672,7990,10374
1673,10374,7990
1674,10374,10373
1675,10373,10374
1676,10373,10372
1677,10372,10373
1678,10372,10904
1679,10904,10372
1680,10904,424
1681,424,10904
1682,424,7151
1683,7151,424
1684,7151,7152
1685,7152,7151
1686,7152,10371
1687,10371,7152
1688,10371,10370
1689,10370,10371
1690,10370,10369
1691,10369,10370
1692,10369,10368
1693,10368,10369
1694,10368,10367
1695,10367,10368
1696,10367,10898
1697,10898,10367
1698,10898,11298
1699,11298,10898
1700,11298,11299
1701,11299,11298
1702,11299,10897
1703,10897,11299
1704,203,897
1705,1161,571
1706,1161,4789
1707,4789,1161
1708,4789,57
1709,57,4789
1710,57,11
1711,11,57
1712,193,8932
1713,7729,8500
1714,10573,10572
1715,10572,10571
1716,10570,10569
1717,10568,901
1718,2923,597
1719,10279,6868
1720,1541,4780
1721,4221,10261
1722,4222,4221
1723,4219,4222
1724,1658,4220
1725,9672,641
